county_id,area,population
19179,"{""type"": ""Feature"", ""id"": ""19179"", ""properties"": {""name"": ""Wapello""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-92.64176547615476, 41.160908173971734], [-92.40846136661366, 41.16176723366233], [-92.1787465510655, 41.16262629335293], [-92.1787465510655, 40.89975402803027], [-92.63817618216181, 40.898894968339675], [-92.64176547615476, 41.160908173971734]]]}}",35242.0
29185,"{""type"": ""Feature"", ""id"": ""29185"", ""properties"": {""name"": ""St. Clair""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-94.05953660336603, 38.03650807927079], [-94.0487687213872, 38.21433343522435], [-93.55703544435444, 38.20144753986539], [-93.52473179841797, 38.207460957699574], [-93.49601744647445, 38.1988703607936], [-93.50319603446034, 38.07344764596645], [-93.51037462244622, 37.91366254351543], [-93.56780332633326, 37.914521603206026], [-93.57498191431914, 37.82775657445574], [-93.62882132421323, 37.82947469383693], [-93.81187531785318, 37.834629051980514], [-93.80828602386023, 37.8930451109411], [-94.0667151913519, 37.90077664815647], [-94.05953660336603, 38.03650807927079]]]}}",9444.0
26123,"{""type"": ""Feature"", ""id"": ""26123"", ""properties"": {""name"": ""Newaygo""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-86.04105382313823, 43.467483443224424], [-86.03746452914528, 43.81540261791617], [-85.56367772207722, 43.81540261791617], [-85.56367772207722, 43.46834250291502], [-85.56367772207722, 43.29395338572385], [-85.78980324363243, 43.293094326033255], [-86.03746452914528, 43.293094326033255], [-86.04105382313823, 43.467483443224424]]]}}",47957.0
48441,"{""type"": ""Feature"", ""id"": ""48441"", ""properties"": {""name"": ""Taylor""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-100.14697921539215, 32.52306298501984], [-99.6301208804088, 32.520485805948056], [-99.6301208804088, 32.51447238811387], [-99.6301208804088, 32.081506304053036], [-99.71267464224641, 32.082365363743634], [-100.1505685093851, 32.082365363743634], [-100.14697921539215, 32.52306298501984]]]}}",135234.0
48233,"{""type"": ""Feature"", ""id"": ""48233"", ""properties"": {""name"": ""Hutchinson""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-101.62217904649046, 36.055516432754324], [-101.0873742415424, 36.055516432754324], [-101.0873742415424, 35.62512752776527], [-101.62217904649046, 35.624268468074675], [-101.62217904649046, 36.055516432754324]]]}}",21782.0
55137,"{""type"": ""Feature"", ""id"": ""55137"", ""properties"": {""name"": ""Waushara""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-89.59804417014169, 44.24579152290522], [-89.22475759487594, 44.24321434383343], [-88.8873639595396, 44.24235528414283], [-88.8873639595396, 43.982919257582566], [-89.16732889098891, 43.982919257582566], [-89.59804417014169, 43.98206019789197], [-89.59804417014169, 44.24579152290522]]]}}",24238.0
47151,"{""type"": ""Feature"", ""id"": ""47151"", ""properties"": {""name"": ""Scott""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-84.78480092560925, 36.60359651535515], [-84.77762233762337, 36.60359651535515], [-84.54431822808228, 36.59586497813977], [-84.26076400264002, 36.59156967968679], [-84.24999612066121, 36.5340126804168], [-84.2858890605906, 36.50394559124591], [-84.32896058850588, 36.50909994938949], [-84.35049635246352, 36.46614696485964], [-84.33613917649176, 36.38797253301532], [-84.32896058850588, 36.2848853701437], [-84.3756214104141, 36.259972639116384], [-84.37203211642117, 36.21701965458654], [-84.40433576235762, 36.174925729747294], [-84.44022870228702, 36.16375795376953], [-84.47253234822348, 36.20413375922759], [-84.56944328603285, 36.236778027470265], [-84.5730325800258, 36.26684511664116], [-84.61251481394814, 36.27028135540355], [-84.70224716377163, 36.370791339203386], [-84.65917563585636, 36.3948450105401], [-84.69147928179281, 36.43522081599816], [-84.73096151571515, 36.524563023820235], [-84.78480092560925, 36.60359651535515]]]}}",22029.0
28131,"{""type"": ""Feature"", ""id"": ""28131"", ""properties"": {""name"": ""Stone""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-89.33961500265002, 30.90974888607886], [-89.13861453904539, 30.90974888607886], [-88.88377466554665, 30.91060794576945], [-88.88377466554665, 30.735359768887683], [-88.88377466554665, 30.676943709927095], [-89.2391147708477, 30.676943709927095], [-89.24629335883358, 30.6477356804468], [-89.34320429664297, 30.6477356804468], [-89.33961500265002, 30.694983963429628], [-89.33961500265002, 30.90974888607886]]]}}",17995.0
48335,"{""type"": ""Feature"", ""id"": ""48335"", ""properties"": {""name"": ""Mitchell""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-101.17351729737297, 32.52392204471044], [-101.17351729737297, 32.52735828347283], [-100.66024825638256, 32.525640164091634], [-100.6638375503755, 32.08580160250602], [-100.82176648606486, 32.086660662196614], [-101.18428517935179, 32.08751972188721], [-101.17351729737297, 32.52392204471044]]]}}",8995.0
26151,"{""type"": ""Feature"", ""id"": ""26151"", ""properties"": {""name"": ""Sanilac""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-83.11936851288513, 43.32745671365713], [-83.10501133691336, 43.32745671365713], [-83.11936851288513, 43.675375888348874], [-82.60609947189472, 43.69083896277962], [-82.59892088390883, 43.590328978979784], [-82.53790288602886, 43.43741635405353], [-82.52354571005709, 43.225228610476094], [-82.50200994609946, 43.1685306708967], [-82.99733251712517, 43.15392665615656], [-83.0009218111181, 43.28450372912729], [-83.11936851288513, 43.28364466943669], [-83.11936851288513, 43.32745671365713]]]}}",41761.0
29119,"{""type"": ""Feature"", ""id"": ""29119"", ""properties"": {""name"": ""McDonald""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-94.61946646626465, 36.76681785656856], [-94.07030448534485, 36.74791854337543], [-94.0667151913519, 36.73846888677886], [-94.07748307333073, 36.498791233102324], [-94.61946646626465, 36.49965029279292], [-94.61946646626465, 36.668025992149914], [-94.61946646626465, 36.76681785656856]]]}}",22720.0
48501,"{""type"": ""Feature"", ""id"": ""48501"", ""properties"": {""name"": ""Yoakum""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-103.05789664366642, 33.38813609345093], [-102.59487771857718, 33.38813609345093], [-102.59487771857718, 32.95860624815248], [-103.06507523165232, 32.959465307843075], [-103.05789664366642, 33.26013619955199], [-103.05789664366642, 33.38813609345093]]]}}",8316.0
48171,"{""type"": ""Feature"", ""id"": ""48171"", ""properties"": {""name"": ""Gillespie""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-99.30349512705126, 30.499977413664134], [-98.96251219772198, 30.49825929428294], [-98.59281491644916, 30.499977413664134], [-98.58922562245623, 30.13917234361343], [-98.91944066980669, 30.138313283922834], [-99.29990583305833, 30.134017985469846], [-99.30349512705126, 30.286930610396098], [-99.30349512705126, 30.499977413664134]]]}}",25732.0
48283,"{""type"": ""Feature"", ""id"": ""48283"", ""properties"": {""name"": ""La Salle""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-99.3968167708677, 28.640972243212424], [-98.80099396803968, 28.647844720737204], [-98.80099396803968, 28.646985661046607], [-98.80099396803968, 28.20199274131741], [-98.80458326203262, 28.057670713297128], [-99.38963818288182, 28.03018080319803], [-99.39322747687477, 28.204569920389197], [-99.3968167708677, 28.252677263062623], [-99.3968167708677, 28.640972243212424]]]}}",7319.0
17165,"{""type"": ""Feature"", ""id"": ""17165"", ""properties"": {""name"": ""Saline""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-88.7078992598926, 37.86297802177021], [-88.7078992598926, 37.906790065990656], [-88.37409491854918, 37.90764912568125], [-88.37409491854918, 37.599246696756964], [-88.41357715247152, 37.60010575644756], [-88.7078992598926, 37.599246696756964], [-88.7078992598926, 37.86297802177021]]]}}",24659.0
26101,"{""type"": ""Feature"", ""id"": ""26101"", ""properties"": {""name"": ""Manistee""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-86.23487569875698, 44.51811344482444], [-85.81851759557595, 44.51295908668086], [-85.82210688956889, 44.164180852298514], [-86.04464311713117, 44.16675803137031], [-86.38562604646046, 44.178784867038665], [-86.34255451854519, 44.24922776166761], [-86.26717934469345, 44.34544244701446], [-86.23487569875698, 44.51811344482444]]]}}",24465.0
48195,"{""type"": ""Feature"", ""id"": ""48195"", ""properties"": {""name"": ""Hansford""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-101.62217904649046, 36.49965029279292], [-101.08378494754947, 36.49965029279292], [-101.0873742415424, 36.05723455213551], [-101.0873742415424, 36.055516432754324], [-101.62217904649046, 36.055516432754324], [-101.62217904649046, 36.49965029279292]]]}}",5552.0
